Sno,FoodSite,Active_In,ITM_E,ITM_N,lat,long
1,Antenas ,South,178602,538292,30.9349,34.7770
2,Gorni_hill,South,228080,580867,31.319568 ,35.2951
3,Golhan,South,203938,533826,30.8952,35.0422
4,Daroch,South,184290,530148,30.8616,34.8368
5,Camus_south,South,205225,540429,30.9548,35.0556
6,Hahalak_mount,South,203447,530437,30.8646,35.0371
7,Gezem_mount,South,197179,494902,30.5440,34.9724
8,Tzaror_mount,South,182055,529999,30.8602,34.813465 
9,Lashabia_450,South,192965,537039,30.9240,34.927349 
10,Tzaror_trap,South,182064,530142,30.8615,34.8136
11,Hava_cliff,South,185801,506919,30.6521,34.8534
12,Nekarot_valley,South,217371,505406,30.6390,35.1828
13,Ovdat,South,178836,522624,30.7936,34.7801
14,Amiaz,South,227386,558733,31.119942 ,35.2876
15,Kaolin,South,185382,503479,30.621108 ,34.8491
16,Hatzera_drill,South,219278,540487,30.9554,35.202644 
17,Tzvira_plateau,South,214763,505653,30.6412,35.1556
18,Small_crater_view,South,214324,539780,30.9490,35.1508
19,Ben_Yair_view,South,231446,582264,31.3321,35.3305
20,Chail_hills,South,167012,542618,30.9735,34.6555
21,Lotan_pools,South,207980,436278,30.0154,35.0856
22,Elifaz,South,200247,413016,29.8054,35.0058
23,Ovda_valley,South,188360,424510,29.9089,34.8825
24,Hispiya_meadow,Golan,278169.6388,749502.2445,32.838781,35.831625 
25,Cachal,Galilee,247448.5558,755921.0135,32.897871,35.503694
26,Gamla,Golan,271289.664,756130.1335,32.898888 ,35.758515
27,Hai_Bar_Carmel,Carmel,201736.8482,739341.7003,32.748592 ,35.015439
28,North_Golan,Golan,265432.6471,789419.7524,33.199298,35.697586
29,Ramat_Menashe,Ramat_Menashe,207965.0233,719505.9574,32.569813 ,35.082139
